id,question,option1,option2,option3,option4,ans,hit
1,從上午 8:30 到上午 10:10，經過了多久？,1小時20分,1小時40分,2小時20分,80分鐘,B,10:10 的 10 分不夠減 30 分，記得跟 10 點借 1 小時。
2,計算時間減法時，如果分鐘不夠減，借 1 小時要換成幾分鐘？,10 分,24 分,60 分,100 分,C,時間是 60 進位，跟一般的 10 進位不一樣喔！
3,小明看電影，電影長度 120 分鐘，換算成小時是多少？,1 小時,1.2 小時,2 小時,2.5 小時,C,60 + 60 = 120，剛好是幾個 60 呢？
4,下午 2:00 用「24時制」表示是多少？,02:00,12:00,14:00,22:00,C,下午的時間要加上 12 小時。
5,火車 10:50 出發，行駛了 1 小時 30 分，幾點會到達？,0.513888889,12:20,12:30,11:20,B,10:50 + 1:30 = 11:80，但是 80 分鐘超過 1 小時了，要進位。
6,算式 $5\text{時}15\text{分} - 3\text{時}45\text{分}$ 的答案是？,1小時30分,1小時70分,2小時30分,2小時70分,A,先借位變成 4時75分 再減。
7,甲車行駛 80 分鐘，乙車行駛 1 小時 10 分鐘，誰開得比較久？,甲車,乙車,一樣久,無法比較,A,先把 1 小時 10 分換算成「分鐘」再來比。
8,現在是 13:55，再過幾分鐘就是 14:00？,5 分鐘,15 分鐘,45 分鐘,55 分鐘,A,一小時有 60 分，60 - 55 = ?。
9,關於「時刻」與「時間」的說法，何者正確？,「下午3點」是時間,「3小時」是時刻,「上午8點」是時刻,兩者意思完全一樣,C,時刻是「時間點」（幾點幾分），時間是「長度」（多久）。
10,小華 07:40 出門，08:15 到學校，他花了多久？,25 分鐘,35 分鐘,45 分鐘,75 分鐘,B,40 分到 8:00 是 20 分，再加 15 分。
