id,question,option1,option2,option3,option4,ans,hit,,,,,,,,,,,,,,,,,,,,
1,每盒彩筆賣 40 元，現在要買 10 盒，下面哪個計算總價的算式正確？, 40+10, 40×10, 10−40, 40÷10,A,看到「每盒彩筆40元、買10盒」就是「40元重複10次」→ 用乘法，不是加法或除法。,,,,,,,,,,,,,,,,,,,,
2,一本筆記本賣 20 元，曉華已經買 7 本，又再買 3 本，曉華要付的總價算式哪個正確？,20×(7+3),20×7+3,20+(7+3),(20×7)×3,A,先問自己：「一共買了幾本？」把 7+3 先合起來，再想「每本20元要乘幾本」,,,,,,,,,,,,,,,,,,,,
3,橡皮擦一個賣 15 元，今天早上買 17 個，下午買 3 個，應付總價是多少？,62,258,300,340,C,把題目中的「4個、2個」先變成 總數，再用「15元/個」去乘，別讓「個數」直接加到錢上。,,,,,,,,,,,,,,,,,,,,
4,糖果一顆賣 8 元，我們先買 9 顆，然後再買 1 顆，我們要付總價的算式是哪一個？, 8×9+1, 8+10, 9+1×8, 8×10,D,看到「9顆又1顆」就先湊成 10顆，再用 8 元去乘，速度最快。,,,,,,,,,,,,,,,,,,,,
5,鉛筆一支 12 元，我們先買 5 枝，再買 5 枝，下面哪個計算總價的算式正確？, 12×(5+5), 12×5+5, 12+(5+5), (12+5)×5,A,「又買」通常代表 加法：先把 5+5 算成總枝數，再用 12 元乘上去。,,,,,,,,,,,,,,,,,,,,
6,一盒彩色筆賣 30 元，同學先買 2 盒，然後又買 1 盒，下面哪個計算總價的算式正確？, 30×2+1, 30×(2+1), 30+(2+1), 2×(30+1),B,先用一句話檢查：總價一定會有「30×（總盒數）」，先找總盒數是 2+1。,,,,,,,,,,,,,,,,,,,,
7,下面哪個算式的計算結果和 25×(6+4) 相同？, 25+(6×4), 25×6+4, (25+6)×4, 25×6+25×4,D,想想分配律：25×(6+4) 可以拆成「25×6」和「25×4」兩部分再相加。,,,,,,,,,,,,,,,,,,,,
8,飲料一瓶賣 18 元，我們先買 9 瓶，然後再買 1 瓶，下面哪個算式「不能」算出正確總價？, 18×(9+1), 18×9+18, 18×9+9, 18×1+18×9,C,先圈出題目關鍵字「不能」，再用「單位檢查」：錢要跟錢加，不能把「瓶數」直接加到錢上。,,,,,,,,,,,,,,,,,,,,
9,貼紙一張賣 5 元，我們先買 3 張，接著再買 2 張，我們總共要付多少錢？,5,10,15,25,D,先求「總張數」：3+2，再用「每張5元」去乘；不要只算一部分。,,,,,,,,,,,,,,,,,,,,
10,每本故事書賣 60 元，我們先買 8 本，然後再買 2 本，下面哪個計算總價的算式正確？, 60+(8×2), 60×(8+2), (60+8)×2, 60×8+2,B,先求總本數：8+2，再做「60×總本數」；記得「本數不能直接加到元上」。,,,,,,,,,,,,,,,,,,,,
