id,question,option1,option2,option3,option4,ans,hit,,,
1,計算 20 - 6 ÷ 2 的正確順序是？,先減再除,先除再減,同時算,從左到右,B,乘號 × 和除號 ÷ 是 VIP，比加減號優先進場。,,,
2,計算 (20 - 6) ÷ 2 的答案是多少？,7,10,14,17,A,看到括號，裡面的數字要先「打一架」算出結果。,,,
3,「100 元買了 3 枝 10 元的筆，找回多少錢？」算式是？,100 - 10 ÷ 3,(100 - 10) × 3,100 - 10 × 3,100 ÷ 3 - 10,C,先算出 3 枝筆總共多少錢，再從 100 元扣掉。,,,
4,想要先算加減法，再算乘除法時，必須使用什麼符號？,等號 =,括號 ( ),問號 ?,加號 +,B,就像這一題的重點，要把算式包起來保護。,,,
5,下列哪一個算式的值最大？,10 - 2 × 3,(10 - 2) × 3,10 × 2 - 3,10 + 2 × 3,B,試著算算看，選項 B 是 8 × 3，選項 D 是 10 + 6。,,,
6,「甲數是 50，減去 10 之後，再乘以 2」，如何列式？,50 - 10 × 2,50 × 2 - 10,(50 - 10) × 2,50 - (10 × 2),C,文字說「減去...之後」，表示減法動作已經完成了，要用括號包起來。,,,
7,800 - 200 ÷ 4 的答案是？,150,200,600,750,D,陷阱題！要先算 200 ÷ 4 = 50 喔。,,,
8,算式 (A + B) × C 代表的意思是？,A 加 B 的積再乘 C,A 加上 B 乘 C,A 加 B 的和再乘 C,A 乘 C 加上 B,C,加法的結果叫做「和」，乘法的結果叫做「積」。,,,
9,老師有 30 顆糖，發給 5 位男生和 5 位女生，平均每人拿幾顆？,30 ÷ 5 + 5,30 ÷ (5 + 5),30 ÷ 5 × 5,30 - 5 - 5,B,要先算出「總共有多少人」，所以人數要相加並用括號保護。,,,
10,關於「先乘除後加減」，下列說法何者正確？,只有乘法要先算，除法不用,永遠從左邊算到右邊,如果有括號，括號內的要最先算,加減法比較簡單所以先算,C,這是數學界的最高交通規則，括號是絕對優先。,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
